name_clean,platform_clean,year_clean,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
2 games in 1: spongebob squarepants: supersponge & rugrats go wild,gba,2005,Platform,THQ,0.45,,,,
2 in 1 combo pack: sonic heroes / super monkey ball deluxe,x360,2013,Misc,Ubisoft,0.12,,,,
2 in 1 combo pack: sonic heroes / super monkey ball deluxe,xb,2004,Misc,Sega,0.53,,,,
2-in-1 game pack: spider-man & spider-man 2,gba,2005,Platform,Activision,0.09,,,,
2002 fifa world cup,gc,2002,Sports,Electronic Arts,0.05,78.0,9.0,7.7,6.0
2002 fifa world cup,ps2,2002,Sports,Electronic Arts,0.59,73.0,19.0,5.6,18.0
2002 fifa world cup,xb,2002,Sports,Electronic Arts,0.19,79.0,17.0,9,4.0
2010 fifa world cup south africa,ps3,2010,Sports,Electronic Arts,1.23,82.0,56.0,7.8,57.0
2010 fifa world cup south africa,psp,2010,Sports,Electronic Arts,0.46,69.0,11.0,7.4,9.0
2010 fifa world cup south africa,wii,2010,Sports,Electronic Arts,0.42,70.0,19.0,6.7,11.0
2010 fifa world cup south africa,x360,2010,Sports,Electronic Arts,0.85,83.0,61.0,8.1,58.0
2014 fifa world cup brazil,ps3,2014,Sports,Electronic Arts,0.61,73.0,33.0,4.3,87.0
2014 fifa world cup brazil,x360,2014,Sports,Electronic Arts,0.42,74.0,29.0,4.4,93.0
24: the game,ps2,2006,Adventure,Sony Computer Entertainment,0.3,62.0,53.0,8.2,40.0
25 to life,ps2,2006,Shooter,Eidos Interactive,0.42,39.0,23.0,4.9,46.0
25 to life,xb,2006,Shooter,Eidos Interactive,0.17,41.0,20.0,7.2,13.0
2xtreme,ps,1996,Sports,Sony Computer Entertainment,1.4,,,,
"3 in 1: solitaire, mahjong & tangram",ds,2010,Misc,Deep Silver,0.07,,,,
300: march to glory,psp,2007,Action,Warner Bros. Interactive Entertainment,0.41,55.0,31.0,7.1,14.0
3d baseball,ps,1996,Sports,BMG Interactive Entertainment,0.03,,,,
3d dot game heroes,ps3,2009,Role-Playing,SouthPeak Games,0.57,77.0,66.0,8,96.0
3d lemmings,ps,1995,Puzzle,Psygnosis,0.06,,,,
3d tank warfare simulator panzer front,ps,1999,Simulation,Avalon Interactive,0.1,,,,
3ds classic collection,3ds,2016,Misc,Sega,0.03,,,,
3rd super robot wars z jigoku hen,ps3,2014,Role-Playing,Namco Bandai Games,0.23,,,,
3rd super robot wars z jigoku hen,psv,2014,Role-Playing,Namco Bandai Games,0.19,,,,
3rd super robot wars z: tengoku-hen,ps3,2015,Action,Namco Bandai Games,0.15,,,,
3rd super robot wars z: tengoku-hen,psv,2015,Action,Namco Bandai Games,0.19,,,,
3xtreme,ps,1999,Action,989 Studios,0.9,,,,
4 elements,pc,2009,Puzzle,Mastertronic,0.05,,,7.4,19.0
4 game fun pack: monopoly / boggle / yahtzee / battleship,ds,2005,Misc,Atari,0.11,,,,
4 nin uchi mahjong,nes,1984,Misc,Nintendo,1.45,,,,
4 play collection - dark mysteries,pc,2014,Misc,Avanquest Software,0.02,,,,
40 winks,ps,1999,Platform,GT Interactive,0.31,,,,
428: fuusa sareta shibuya de,ps3,2009,Adventure,Spike,0.02,,,,
428: fuusa sareta shibuya de,psp,2009,Adventure,Spike,0.04,,,,
428: fuusa sareta shibuya de,wii,2008,Adventure,Sega,0.13,,,,
4x4 evo 2,gc,2002,Racing,Vivendi Games,0.14,56.0,7.0,tbd,
4x4 evo 2,xb,2001,Racing,Gathering of Developers,0.24,59.0,15.0,6.2,5.0
4x4 evolution,ps2,2001,Racing,Gathering of Developers,0.32,64.0,11.0,tbd,
50 cent: blood on the sand,ps3,2009,Shooter,THQ,0.19,72.0,37.0,7.2,57.0
50 cent: blood on the sand,x360,2009,Shooter,THQ,0.21,71.0,54.0,6.4,64.0
50 cent: bulletproof,ps2,2005,Action,Vivendi Games,1.77,47.0,21.0,6.6,129.0
50 cent: bulletproof,psp,2006,Action,Vivendi Games,0.08,,,,
50 cent: bulletproof,xb,2005,Action,Vivendi Games,0.44,50.0,14.0,5.9,21.0
50 classic games,3ds,2012,Misc,Avanquest Software,0.01,,,,
50 classic games,ds,2009,Misc,Destineer,0.54,,,tbd,
64 de hakken! tamagotchi minna de tamagotchi world,n64,1997,Misc,Namco Bandai Games,0.22,,,,
7 days to die,ps4,2016,Action,Telltale Games,0.14,45.0,16.0,5.9,140.0
7 days to die,xone,2016,Action,Telltale Games,0.05,35.0,17.0,5.2,74.0
7 roses: a darkness rises,pc,2015,Misc,Avanquest Software,0.02,,,,
7 wonders ii,ds,2009,Puzzle,Rondomedia,0.31,60.0,5.0,tbd,
7 wonders of the ancient world,ds,2007,Puzzle,Funsta,0.13,60.0,7.0,8.3,48.0
7 wonders of the ancient world,psp,2007,Puzzle,Mumbo Jumbo,0.08,51.0,10.0,tbd,
7 wonders: treasures of seven,ds,2011,Puzzle,Avanquest,0.03,,,,
7'scarlet,psv,2016,Adventure,Idea Factory,0.01,,,,
7th dragon,ds,2009,Role-Playing,Sega,0.14,,,,
7th dragon 2020,psp,2011,Role-Playing,Sega,0.2,,,,
7th dragon 2020-ii,psp,2013,Role-Playing,Sega,0.13,,,,
7th dragon iii code: vfd,3ds,2015,Role-Playing,Sega,0.17,77.0,26.0,8.2,38.0
99 no namida,ds,2008,Adventure,Namco Bandai Games,0.04,,,,
"999: nine hours, nine persons, nine doors",ds,2009,Adventure,ChunSoft,0.36,,,,
[prototype 2],pc,2012,Action,Activision,0.11,76.0,12.0,6.4,389.0
[prototype 2],ps3,2012,Action,Activision,0.74,79.0,39.0,6.8,179.0
[prototype 2],x360,2012,Action,Activision,0.79,74.0,69.0,7,173.0
[prototype],ps3,2009,Action,Activision,1.24,79.0,53.0,7.7,308.0
[prototype],x360,2009,Action,Activision,1.31,78.0,83.0,7.8,356.0
a boy and his blob,wii,2009,Platform,Majesco Entertainment,0.21,80.0,43.0,8.7,35.0
a bug's life,n64,1998,Platform,Activision,0.63,,,,
a bug's life,ps,1998,Platform,Sony Computer Entertainment,2.79,,,,
a collection of activision classic games for the atari 2600,ps,1998,Misc,Activision,1.37,,,,
a collection of classic games from the intellivision,ps,1999,Misc,Activision,0.31,,,,
a game of thrones: genesis,pc,2011,Strategy,Focus Home Interactive,0.03,53.0,40.0,4,110.0
a good librarian like a good shepherd: library party,psv,2015,Action,Kaga Create,0.03,,,,
a lli s.v.: a ressha de gyoukou 3 super version,snes,1995,Simulation,Pack-In-Video,0.06,,,,
a new beginning,pc,2010,Adventure,Deep Silver,0.06,,,,
a ressha de gyoukou 2001,ps2,2001,Simulation,ArtDink,0.03,,,,
a ressha de ikou ds,ds,2009,Simulation,ArtDink,0.04,,,,
a vampyre story,pc,2008,Adventure,Crimson Cow,0.02,75.0,33.0,8.5,25.0
a witch's tale,ds,2009,Role-Playing,Nippon Ichi Software,0.11,50.0,17.0,6.2,9.0
a-train,ps,1995,Simulation,Sony Computer Entertainment,0.08,,,,
a-train 6,ps2,2000,Strategy,Midas Interactive Entertainment,0.06,,,,
a-train: city simulator,3ds,2014,Simulation,ArtDink,0.06,65.0,4.0,tbd,
a. iv evolution: a ressha de ikou 4,ps,1994,Strategy,ArtDink,0.25,,,,
a.c.e.: another century's episode,ps2,2005,Simulation,Banpresto,0.26,,,,
a.c.e.: another century's episode 2,ps2,2006,Simulation,Banpresto,0.18,,,,
a.c.e.: another century's episode 3: the final,ps2,2007,Simulation,Banpresto,0.26,,,,
a.c.e.: another century's episode portable,psp,2011,Simulation,Namco Bandai Games,0.12,,,,
a.c.e.: another century's episode r,ps3,2010,Simulation,Namco Bandai Games,0.26,,,,
aa megami-samaa,ps2,2007,Adventure,Marvelous Interactive,0.01,,,,
abba: you can dance,wii,2011,Misc,Ubisoft,0.77,66.0,5.0,tbd,
abunai: koi no sousa shitsu,psp,2012,Action,Quinrose,0.01,,,,
abunai: koi no sousa shitsu,psv,2015,Action,Asgard,0.02,,,,
ac/dc live: rock band track pack,ps2,2008,Misc,MTV Games,0.16,,,tbd,
ac/dc live: rock band track pack,ps3,2008,Misc,MTV Games,0.24,60.0,12.0,5.3,14.0
ac/dc live: rock band track pack,wii,2008,Misc,MTV Games,0.27,,,7.2,5.0
ac/dc live: rock band track pack,x360,2008,Misc,MTV Games,0.23,63.0,16.0,4.9,10.0
academy of champions: soccer,wii,2009,Sports,Ubisoft,0.12,64.0,20.0,6.8,14.0
accel world: ginyoku no kakusei,ps3,2012,Adventure,Namco Bandai Games,0.03,,,,
accel world: ginyoku no kakusei,psp,2012,Adventure,Namco Bandai Games,0.03,,,,
accel world: kasoku no chouten,ps3,2013,Adventure,Namco Bandai Games,0.02,,,,
accel world: kasoku no chouten,psp,2013,Adventure,Namco Bandai Games,0.01,,,,
ace attorney 6,3ds,2016,Adventure,Capcom,0.27,,,,
ace attorney investigations 2,ds,2011,Adventure,Capcom,0.26,,,,
ace attorney investigations: miles edgeworth,ds,2009,Adventure,Capcom,0.7,78.0,51.0,8.4,79.0
ace combat 04: shattered skies,ps2,2001,Simulation,Sony Computer Entertainment Europe,3.17,89.0,22.0,9.1,95.0
ace combat 2,ps,1997,Simulation,Sony Computer Entertainment,0.89,83.0,10.0,8.2,22.0
ace combat 3: electrosphere,ps,1999,Simulation,Sony Computer Entertainment,0.83,,,,
ace combat 5: the unsung war,ps2,2004,Simulation,Sony Computer Entertainment Europe,1.71,84.0,57.0,9.1,81.0
ace combat 6: fires of liberation,x360,2007,Simulation,Atari,1.01,80.0,54.0,7.9,101.0
ace combat x: skies of deception,psp,2006,Simulation,Namco Bandai Games,0.99,75.0,26.0,8.3,30.0
ace combat zero: the belkan war,ps2,2006,Simulation,Namco Bandai Games,0.51,75.0,45.0,8.4,55.0
ace combat: assault horizon,ps3,2011,Action,Namco Bandai Games,0.74,77.0,28.0,6.7,82.0
ace combat: assault horizon,x360,2011,Action,Namco Bandai Games,0.49,78.0,71.0,6.2,82.0
ace combat: assault horizon legacy,3ds,2011,Simulation,Namco Bandai Games,0.24,71.0,37.0,7.8,26.0
ace combat: joint assault,psp,2010,Simulation,Namco Bandai Games,0.29,71.0,30.0,7.2,12.0
achtung panzer: kharkov 1943,pc,2010,Strategy,Mamba Games,0.02,70.0,6.0,8.3,20.0
act of aggression,pc,2015,Strategy,Focus Home Interactive,0.01,71.0,37.0,7.1,93.0
action bass,ps,2000,Action,Take-Two Interactive,1.14,51.0,8.0,tbd,
action force,2600,1982,Action,CPG Products,0.54,,,,
action man-operation extreme,ps,,Action,,0.09,,,,
active health with carol vorderman,ds,2009,Sports,Nintendo,0.18,,,,
active life explorer,wii,2010,Sports,Namco Bandai Games,0.14,,,tbd,
active life: extreme challenge,wii,2009,Sports,Namco Bandai Games,0.47,56.0,13.0,tbd,
active life: magical carnival,wii,2011,Misc,Namco Bandai Games,0.04,,,tbd,
active life: outdoor challenge,wii,2008,Sports,Atari,1.54,69.0,6.0,8.1,14.0
activision anthology,gba,2003,Misc,Activision,0.05,79.0,13.0,tbd,
activision anthology,ps2,2002,Misc,Activision,0.5,75.0,13.0,7.7,6.0
activision hits: remixed,psp,2006,Misc,Activision,0.05,75.0,10.0,tbd,
actua tennis,ps,1997,Sports,Gremlin Interactive Ltd,0.13,,,,
adidas power soccer,ps,1996,Sports,Psygnosis,0.04,,,,
adidas power soccer 98,ps,1998,Sports,Psygnosis,0.02,,,,
adrenalin misfits,x360,2010,Racing,Konami Digital Entertainment,0.14,50.0,32.0,tbd,
advance guardian heroes,gba,2004,Role-Playing,Ubisoft,0.04,65.0,25.0,tbd,
advance wars,gba,2001,Strategy,Nintendo,0.7,92.0,28.0,9,95.0
advance wars 2: black hole rising,gba,2003,Strategy,Nintendo,0.65,89.0,34.0,9.4,97.0
advance wars: days of ruin,ds,,Strategy,Nintendo,0.61,86.0,55.0,8.7,96.0
advance wars: dual strike,ds,2005,Strategy,Nintendo,0.39,90.0,49.0,9,163.0
advent rising,xb,2005,Action,THQ,0.13,68.0,50.0,7.5,68.0
adventure,2600,,Adventure,Atari,1.3,,,,
adventure island,nes,1986,Platform,Hudson Soft,1.05,,,,
adventure time: explore the dungeon because i don't know!,3ds,2013,Action,D3Publisher,0.15,,,,
adventure time: explore the dungeon because i don't know!,ps3,2013,Action,D3Publisher,0.05,,,,
adventure time: explore the dungeon because i don't know!,wiiu,2013,Action,D3Publisher,0.04,,,,
adventure time: explore the dungeon because i don't know!,x360,2013,Action,D3Publisher,0.08,,,,
adventure time: finn & jake investigations,3ds,2015,Action,Little Orbit,0.08,,,,
adventure time: finn & jake investigations,ps3,2015,Action,Little Orbit,0.09,,,,
adventure time: finn & jake investigations,ps4,2015,Action,Little Orbit,0.09,,,,
adventure time: finn & jake investigations,wiiu,2015,Action,Little Orbit,0.05,,,,
adventure time: finn & jake investigations,x360,2015,Action,Little Orbit,0.08,,,,
adventure time: finn & jake investigations,xone,2015,Action,Little Orbit,0.05,,,,
adventure time: the secret of the nameless,3ds,2014,Adventure,Little Orbit,0.02,,,,
adventure time: the secret of the nameless,x360,2014,Adventure,Little Orbit,0.01,,,,
adventure time: the secret of the nameless kingdom,3ds,2014,Action,Little Orbit,0.08,65.0,5.0,5.6,8.0
adventure time: the secret of the nameless kingdom,x360,2014,Action,Little Orbit,0.06,58.0,5.0,7.5,4.0
adventures of lolo,nes,1989,Puzzle,HAL Laboratory,0.06,,,,
adventures of tron,2600,1981,Action,Mattel Interactive,0.67,,,,
adventures to go!,psp,2008,Role-Playing,Zushi Games,0.13,,,,
aedis eclipse: generation of chaos,psp,2006,Role-Playing,Idea Factory,0.02,62.0,20.0,6.5,11.0
aegis of earth: protonovus assault,ps3,2016,Action,PQube,0.02,,,tbd,
aegis of earth: protonovus assault,ps4,2016,Action,PQube,0.03,57.0,11.0,7.8,9.0
aegis of earth: protonovus assault,psv,2016,Action,PQube,0.03,,,8.3,8.0
aeon flux,ps2,2005,Action,THQ,0.04,66.0,19.0,5.8,9.0
aeon flux,xb,2005,Action,THQ,0.01,69.0,27.0,3,4.0
aero elite: combat academy,ps2,2002,Simulation,Sega,0.07,64.0,18.0,7,8.0
aero gauge,n64,1997,Racing,ASCII Entertainment,0.07,,,,
aerofighters assault,n64,1997,Action,Video System,0.19,,,,
afrika,ps3,2008,Adventure,Unknown,0.22,63.0,12.0,6.2,34.0
afro samurai,ps3,2009,Action,Atari,0.2,65.0,52.0,6.1,27.0
afro samurai,x360,2009,Action,Atari,0.24,65.0,70.0,6.2,57.0
after hours athletes,ps3,2011,Sports,Sony Computer Entertainment,0.12,,,,
again,ds,2009,Adventure,Ackkstudios,0.07,,,,
agarest senki: re-appearance,ps3,,Role-Playing,Idea Factory,0.01,,,,
agassi tennis generation,ps2,2003,Sports,DreamCatcher Interactive,0.09,,,6,4.0
agatha christie's the abc murders,ps4,2016,Adventure,Microids,0.03,67.0,17.0,6.2,12.0
agatha christie's the abc murders,xone,2016,Adventure,Microids,0.01,66.0,7.0,7.5,8.0
agatha christie: and then there were none,wii,2008,Adventure,The Adventure Company,0.07,50.0,23.0,6.2,12.0
agatha christie: death on the nile,pc,2008,Adventure,Big Fish Games,0.02,,,tbd,
agatha christie: evil under the sun,wii,2008,Adventure,The Adventure Company,0.08,46.0,6.0,7.3,6.0
agatha christie: peril at end house,pc,2009,Adventure,JoWood Productions,0.01,,,tbd,
agatha christie: the abc murders,ds,2009,Adventure,JoWood Productions,0.1,53.0,11.0,6.5,4.0
agatha christie: the abc murders,pc,2016,Adventure,Microids,0.02,66.0,15.0,8.5,144.0
age of conan: rise of the godslayer,pc,2010,Role-Playing,Funcom,0.03,83.0,14.0,8.4,52.0
age of empires ii: the age of kings,pc,1999,Strategy,Microsoft Game Studios,0.09,92.0,21.0,9,801.0
age of empires iii,pc,2005,Strategy,Microsoft Game Studios,0.38,81.0,52.0,7.7,519.0
age of empires iii: complete collection,pc,2009,Strategy,Microsoft Game Studios,0.17,,,8.5,41.0
age of empires iii: gold edition,pc,2007,Strategy,Microsoft Game Studios,0.03,,,7.8,6.0
age of empires iii: the asian dynasties,pc,2007,Strategy,Microsoft Game Studios,0.06,81.0,19.0,8.5,71.0
age of empires online,pc,2011,Strategy,Microsoft Game Studios,0.06,70.0,44.0,5.6,186.0
age of empires: collector's edition,pc,2000,Strategy,Ubisoft,0.14,,,8,6.0
age of empires: mythologies,ds,2008,Strategy,THQ,0.21,78.0,28.0,6.9,20.0
age of empires: the age of kings,ds,2006,Strategy,THQ,0.22,80.0,38.0,7.9,59.0
age of mythology,pc,2002,Strategy,Microsoft Game Studios,0.09,89.0,31.0,8.9,484.0
age of mythology: the titans,pc,2003,Strategy,Microsoft Game Studios,0.04,84.0,25.0,8.7,119.0
aggressive inline,gc,2002,Sports,Acclaim Entertainment,0.06,88.0,16.0,7.8,5.0
aggressive inline,ps2,2002,Sports,Acclaim Entertainment,0.35,85.0,31.0,8.7,14.0
aggressive inline,xb,2002,Sports,Acclaim Entertainment,0.06,85.0,20.0,7.7,7.0
agile warrior f-111x,ps,1995,Simulation,Virgin Interactive,0.14,,,,
aibou ds,ds,2009,Adventure,Tecmo Koei,0.08,,,,
aidyn chronicles: the first mage,n64,2001,Role-Playing,THQ,0.1,,,,
aikatsu stars! my special appeal,3ds,2016,Action,Namco Bandai Games,0.01,,,,
aikatsu! 2-nin no my princess,3ds,2013,Action,Namco Bandai Games,0.26,,,,
aikatsu! 365 idol days,3ds,2014,Adventure,Namco Bandai Games,0.13,,,,
aikatsu! cinderella lesson,3ds,2012,Role-Playing,Namco Bandai Games,0.2,,,,
aikatsu! my no.1 stage!,3ds,2015,Misc,Namco Bandai Games,0.08,,,,
ailu de puzzle,psp,2012,Action,Capcom,0.04,,,,
air,psp,2007,Adventure,Prototype,0.02,,,,
air combat,ps,1995,Simulation,Sony Computer Entertainment,1.83,,,,
air conflicts: aces of world war ii,psp,2009,Simulation,Graffiti,0.05,36.0,12.0,tbd,
air conflicts: secret wars,pc,2011,Simulation,bitComposer Games,0.03,65.0,5.0,6.4,24.0
air conflicts: secret wars,ps3,2011,Simulation,bitComposer Games,0.19,51.0,8.0,tbd,
air conflicts: secret wars,x360,2011,Simulation,bitComposer Games,0.08,61.0,14.0,tbd,
air raid,2600,1981,Action,Men-A-Vision,0.77,,,,
air traffic chaos,ds,2007,Simulation,Ertain,0.05,66.0,8.0,tbd,
air-sea battle,2600,,Shooter,Atari,0.98,,,,
airblade,ps2,2001,Sports,Sony Computer Entertainment,0.23,70.0,18.0,5.8,12.0
airborne troops: countdown to d-day,ps2,2005,Shooter,Playlogic Game Factory,0.12,39.0,4.0,8.1,9.0
airforce delta storm,gba,2002,Shooter,Konami Digital Entertainment,0.02,71.0,6.0,tbd,
airforce delta storm,xb,2001,Shooter,Konami Digital Entertainment,0.18,61.0,21.0,7.1,7.0
airforce delta strike,ps2,2004,Simulation,Konami Digital Entertainment,0.11,66.0,22.0,7,6.0
airline tycoon,pc,2000,Simulation,Interplay,0.02,,,8,9.0
airline tycoon 2,pc,2011,Simulation,Kalypso Media,0.05,57.0,4.0,5.5,30.0
airlock,2600,1981,Action,Data Age,0.39,,,,
airport simulator,pc,2011,Simulation,Unknown,0.02,,,,
airship q,psv,2015,Platform,Cygames,0.03,,,,
aiyoku no eustia,psv,2014,Misc,dramatic create,0.01,,,,
akagawa jirou mystery: yasoukyoku - hon ni manekareta satsujin,ds,2008,Adventure,Marvelous Interactive,0.06,,,,
akai ito ds,ds,2008,Adventure,Alchemist,0.02,,,,
akai katana shin,x360,2011,Shooter,Cave,0.06,,,,
akane iro ni somaru saka parallel,ps2,2008,Adventure,GN Software,0.03,,,,
akatsuki no amaneka to aoi kyojin,psp,2010,Strategy,CyberFront,0.01,,,,
akatsuki no goei trinity,ps3,2012,Adventure,5pb,0.01,,,,
akatsuki no goei trinity,psp,2012,Adventure,5pb,0.01,,,,
akb1/149: love election,ps3,2013,Adventure,Namco Bandai Games,0.08,,,,
akb1/149: love election,psp,2012,Adventure,Namco Bandai Games,0.23,,,,
akb1/149: love election,psv,2012,Adventure,Namco Bandai Games,0.07,,,,
akb1/48: idol to guam de koishitara...,psp,2011,Misc,Namco Bandai Games,0.4,,,,
akb1/48: idol to guam de koishitara...,x360,,Misc,,0.01,,,,
akb1/48: idol to koishitara...,psp,2010,Misc,Namco Bandai Games,0.41,,,,
akb48+me,3ds,2012,Action,Unknown,0.11,,,,
akiba's trip,psp,2011,Adventure,Acquire,0.14,,,,
akiba's trip plus,psp,2012,Adventure,Acquire,0.08,,,,
akiba's trip: undead & undressed,ps3,2013,Action,Nippon Ichi Software,0.11,,,,
akiba's trip: undead & undressed,ps4,2014,Action,Acquire,0.12,,,,
akiba's trip: undead & undressed,psv,2013,Action,Nippon Ichi Software,0.16,,,,
akko ni omakase! brain shock,ds,2006,Misc,Taito,0.04,,,,
akuji the heartless,ps,1998,Platform,Eidos Interactive,0.12,,,,
aladdin magic racer,wii,2011,Racing,Big Ben Interactive,0.01,,,,
alan wake,pc,2012,Action,Nordic Games,0.06,83.0,30.0,8,1473.0
alan wake,x360,2010,Action,Microsoft Game Studios,1.33,83.0,100.0,8.1,1156.0
alex rider: stormbreaker,ds,,Action,THQ,0.07,48.0,11.0,6.1,10.0
alexi lalas international soccer,ps,1998,Sports,Take-Two Interactive,0.07,,,,
alfa romeo racing italiano,ps2,2005,Racing,Black Bean Games,0.01,,,6.8,5.0
alia's carnival! sacrament,psv,2015,Adventure,dramatic create,0.03,,,,
alias,ps2,2004,Action,Acclaim Entertainment,0.11,64.0,31.0,8,10.0
alias,xb,2004,Action,Acclaim Entertainment,0.05,64.0,37.0,6,4.0
alice in wonderland,ds,2010,Adventure,Disney Interactive Studios,0.47,78.0,24.0,tbd,
alice in wonderland,wii,2010,Adventure,Disney Interactive Studios,0.51,69.0,18.0,7.4,13.0
alice: madness returns,pc,2011,Adventure,Electronic Arts,0.12,75.0,29.0,8.4,559.0
alice: madness returns,ps3,2011,Adventure,Electronic Arts,0.58,70.0,51.0,7.9,181.0
alice: madness returns,x360,2011,Adventure,Electronic Arts,0.5,70.0,67.0,8.1,157.0
alien,2600,1981,Action,20th Century Fox Video Games,0.79,,,,
alien breed trilogy,x360,2011,Shooter,Mastertronic,0.02,,,,
alien hominid,gc,2004,Shooter,O3 Entertainment,0.09,78.0,28.0,8.5,15.0
alien hominid,ps2,2004,Shooter,Zoo Digital Publishing,0.1,78.0,47.0,8.3,13.0
alien monster bowling league,wii,2009,Sports,Destineer,0.09,,,tbd,
alien resurrection,ps,2000,Shooter,Fox Interactive,0.16,61.0,12.0,7.5,15.0
alien syndrome,psp,2007,Role-Playing,Sega,0.08,51.0,20.0,6,9.0
alien syndrome,wii,2007,Role-Playing,Sega,0.06,48.0,24.0,7.1,23.0
alien trilogy,ps,1996,Shooter,Acclaim Entertainment,0.47,,,,
alien's return,2600,1982,Action,ITT Family Games,0.34,,,,
alien: isolation,pc,2014,Shooter,Sega,0.14,81.0,41.0,8.4,1588.0
